"STATION","DATE","HN01","LN01","PRCP","TAVG"
"USW00013722","2020",,,"55.23","62.5"
"USW00013722","2021",,,"45.27","61.8"
"USW00013722","2022",,,"44.76","62.7"
"USC00348027","2014","83","32",,"57.8"
"USC00348027","2015","86","32",,"59.5"
"USC00348027","2016","86","28",,"60.6"
"USC00348027","2017","88","31","25.46","60.0"
"USC00348027","2018","86","28","30.69",
"USC00348027","2019","86","31",,"58.3"
"USC00348027","2020","86","33",,"59.4"
"USC00348027","2021","86","27",,"59.6"
"USC00348027","2022","88","26","17.79","59.9"
"USC00341756","2014","86","28",,
"USC00341756","2015","87","29","51.33","61.2"
"USC00341756","2016","88","28","27.76","62.7"
"USC00341756","2017","87","32","39.45","62.0"
"USC00341756","2018","88","26","37.60","60.6"
"USC00341756","2019","89","31","36.56","60.6"
"USC00341756","2020","86","34","35.93","61.1"
"USC00341756","2021","84","28",,"60.9"
"USC00341756","2022",,,,"61.5"
"USC00419952","2014",,,"33.13","67.7"
"USC00419952","2015",,,"49.45","69.1"
"USC00419952","2016",,,"37.01","71.3"
"USC00419952","2017",,,"43.44","71.6"
"USC00419952","2018",,,"36.72","69.5"
"USC00419952","2019",,,"29.63","70.1"
"USC00419952","2021",,,,
"USC00381645","2014",,,"52.57","61.4"
"USC00381645","2015",,,"59.16","63.9"
"USC00381645","2016",,,"52.39","64.0"
"USC00381645","2017",,,,"64.5"
"USC00381645","2019",,,,"64.6"
"USC00381645","2020",,,,"63.7"
"USC00381645","2021",,,"42.38","62.7"
"USC00381645","2022",,,"46.72","62.7"
"USC00122825","2014","81","24","42.72","48.1"
"USC00122825","2015","82","14","47.68","51.1"
"USC00122825","2016","81","24","43.19","53.3"
"USC00122825","2017","84","26","46.70","52.6"
"USC00122825","2018","86","29","47.21","50.8"
"USC00122825","2019",,,,
"USC00122825","2020","83","32","42.42","52.0"
"USC00122825","2021",,,"40.93",
"USC00122825","2022",,,"32.75",
"USC00413289","2014","89","31","22.69","64.8"
"USC00413289","2015","92","32","58.01","66.3"
"USC00413289","2016","92","35","37.02","67.5"
"USC00413289","2017","89","35","28.52","67.6"
"USC00413289","2018","94","34","41.63","65.9"
"USC00413289","2019","94","36","37.60","65.4"
"USC00413289","2020","91","34","33.54",
"USC00413289","2022",,,"30.19","67.4"
"USC00141699","2014","77","5","17.96","50.9"
"USC00141699","2015","79","29","24.18","53.3"
"USC00141699","2016","79","28","17.54","53.6"
"USC00141699","2017","78","29","24.44","53.1"
"USC00141699","2018","77","26","21.84","51.4"
"USC00141699","2019","77","26","25.96","50.6"
"USC00141699","2020","76","30","13.80","53.0"
"USC00141699","2021","76","24","16.76","52.9"
"USC00141699","2022","79","25","12.26","52.2"
"USC00465963","2014","78","32","38.95","50.0"
"USC00465963","2015","76","32","48.15","51.9"
"USC00465963","2016","77","30","41.10","53.3"
"USC00465963","2017","77","30","56.46","53.3"
"USC00465963","2018","75","28","72.76","52.5"
"USC00465963","2019","79","27","51.37","53.0"
"USC00465963","2020","78","34","50.78","53.0"
"USC00465963","2021","78","32","43.62","53.0"
"USC00465963","2022","78","32","45.98","51.3"
"USC00348390","2014",,,,
"USC00348390","2015","86","30",,
"USC00348390","2016","87","30","24.69","63.0"
"USC00348390","2017","89","33","35.87","62.4"
"USC00348390","2018","87","28","40.04","60.3"
"USC00348390","2019","87","32","48.05","60.2"
"USC00348390","2020","85","34",,"61.0"
"USC00348390","2021","87","30",,"61.5"
"USC00348390","2022","90","28",,"61.6"
"USC00218450","2014","73","30","34.63","41.5"
"USC00218450","2015","78","15","33.90","46.0"
"USC00218450","2016",,,"41.71","47.2"
"USC00218450","2017",,,"34.09","45.6"
"USC00218450","2018",,,"34.54","44.8"
"USC00218450","2019",,,"42.96","42.7"
"USC00218450","2020","79","32","25.84","45.4"
"USC00218450","2021","77","29","26.39","46.8"
"USC00218450","2022",,,"23.80","43.1"
"USC00218692","2014","75","15","35.58","41.4"
"USC00218692","2015","75","2","45.70","46.7"
"USC00218692","2016",,,"56.30","48.5"
"USC00218692","2017","76","19","34.31","46.6"
"USC00218692","2018","76","17","45.07","42.9"
"USC00218692","2019","75","18","48.52","42.3"
"USC00218692","2020","79","24","36.46","45.3"
"USC00218692","2021","76","23","24.20","46.8"
"USC00218692","2022","76","14","31.44","43.1"
"USC00121739","2014","71","0","37.67","45.2"
"USC00121739","2015","71","23","36.33","48.1"
"USC00121739","2016","75","22","37.99","50.6"
"USC00121739","2017","72","25","44.92","50.2"
"USC00121739","2018","75","23","42.09",
"USC00121739","2019","74","28","44.31",
"USC00121739","2020","75","27","32.31",
"USC00121739","2021","75","29","42.76",
"USC00121739","2022","73","23","35.08",
"USC00304174","2014",,,"38.53","44.7"
"USC00304174","2015",,,"33.83","45.9"
"USC00304174","2016",,,"31.85","48.0"
"USC00304174","2017",,,"42.57","47.5"
"USC00304174","2018",,,"41.71","46.5"
